Open,High,Low,LTP
0.214503817,0.214446953,0.213903743,0.217557252
0.217557252,0.228743416,0.225362872,0.22519084
0.22519084,0.231000752,0.225362872,0.234351145
0.234351145,0.229495862,0.229182582,0.22519084
0.22519084,0.221971407,0.221543163,0.22519084
0.22519084,0.227990971,0.22841864,0.23129771
0.23129771,0.236267871,0.229946524,0.225954198
0.225954198,0.229495862,0.225362872,0.230534351
0.230534351,0.229495862,0.235294118,0.232061069
0.232061069,0.237772761,0.233002292,0.23740458
0.23740458,0.240030098,0.231474408,0.241984733
0.241984733,0.240782543,0.236822002,0.232824427
0.232824427,0.229495862,0.229182582,0.22519084
0.22519084,0.233258089,0.233002292,0.232824427
0.232824427,0.227990971,0.225362872,0.23129771
0.23129771,0.229495862,0.229182582,0.22519084
0.22519084,0.237020316,0.229946524,0.238931298
0.238931298,0.239277652,0.242933537,0.239694656
0.239694656,0.242287434,0.245989305,0.245801527
0.245801527,0.25282167,0.25210084,0.25648855
0.25648855,0.259593679,0.261268144,0.257251908
0.257251908,0.260346125,0.258976318,0.258015267
0.258015267,0.25131678,0.248281131,0.251908397
0.251908397,0.258841234,0.255156608,0.254961832
0.254961832,0.241534989,0.238349885,0.240458015
0.240458015,0.237020316,0.236822002,0.238167939
0.238167939,0.231000752,0.236822002,0.232824427
0.232824427,0.232505643,0.229946524,0.232824427
0.236641221,0.237020316,0.236822002,0.233587786
0.233587786,0.236267871,0.225362872,0.239694656
0.233587786,0.236267871,0.225362872,0.239694656
0.239694656,0.237020316,0.234530176,0.240458015
0.240458015,0.237020316,0.236822002,0.236641221
0.236641221,0.229495862,0.236822002,0.232824427
0.232824427,0.233258089,0.236822002,0.235877863
0.235877863,0.240030098,0.233002292,0.24351145
0.24351145,0.240030098,0.23605806,0.232061069
0.232061069,0.235515425,0.236822002,0.232824427
0.232824427,0.229495862,0.233002292,0.229007634
0.229007634,0.234010534,0.236822002,0.234351145
0.234351145,0.244544771,0.244461421,0.248091603
0.248091603,0.25282167,0.258212376,0.25648855
0.25648855,0.259593679,0.258212376,0.263358779
0.263358779,0.273890143,0.274255157,0.277862595
0.277862595,0.295711061,0.278838808,0.289312977
0.289312977,0.276899925,0.278838808,0.279389313
0.279389313,0.282167043,0.284186402,0.286259542
0.286259542,0.300225734,0.27960275,0.29389313
0.29389313,0.297215952,0.290297937,0.298473282
0.298473282,0.312264861,0.309396486,0.315267176
0.315267176,0.331828442,0.317035905,0.324427481
